scenario,rho,method,param,N,bias,ESD,mean_SE,median_SE,coverage,coverage_MCSE
clean,0.01,PR_MLE,beta1,500,-0.009328337010212639,0.2081324767549537,0.19244217704804112,0.18754150193290786,0.936,0.01094568408095172
clean,0.01,PR_MLE,beta2,500,0.03933673803252083,0.22007952392430713,0.21322587431982423,0.2039559646212595,0.944,0.010282412168358165
clean,0.01,PR_MLE,beta3,500,-0.019563174205803564,0.1744926675115168,0.16997489786134418,0.16515923522197162,0.95,0.00974679434480897
clean,0.02,DR_CF,alpha0,462,-0.09592159776313318,0.39826076933494087,0.4056923390587818,0.37609833153744093,0.9090909090909091,0.01337477014401136
clean,0.02,DR_CF,alpha1,462,0.23781479177322903,0.5224771256883611,0.5341109306837962,0.43945584775515206,0.9177489177489178,0.012782381147163435
clean,0.02,DR_CF,alpha2,462,-0.12887688950889561,0.4298316612735063,0.43746869453643006,0.37488147565873314,0.961038961038961,0.00900253408337495
clean,0.02,DR_CF,alpha3,462,0.1221593146974547,0.4715948279462893,0.4568775390669117,0.37574709767582015,0.9437229437229437,0.010721781569775062
clean,0.02,DR_CF,beta0,462,0.8725272658769506,2.0340658214803513,6.0137016834233625,0.8182893272868885,0.948051948051948,0.010324753998186184
clean,0.02,DR_CF,beta1,462,-0.2316624471930865,1.131123721630628,3.2088162423933824,0.5032524238153109,0.9502164502164502,0.010118897921197122
clean,0.02,DR_CF,beta2,462,0.632884924334858,1.4982631444417402,4.4608087788325825,0.6416855306881207,0.9545454545454546,0.009690941652527743
clean,0.02,DR_CF,beta3,462,-0.4515413993538969,1.296747033172843,4.432832153871971,0.5210559328573325,0.9458874458874459,0.010525621759299946
clean,0.02,PR_MLE,alpha0,500,0.02123866154323018,0.25750404838005786,0.24325939407681046,0.23812990801944364,0.93,0.011410521460476728
clean,0.02,PR_MLE,alpha1,500,0.009538668972385487,0.13926032373304495,0.136550386110948,0.13549693607351732,0.94,0.010620734437881408
clean,0.02,PR_MLE,alpha2,500,-0.016111488037802095,0.14297539267392087,0.13629216275223663,0.13487916775116535,0.94,0.010620734437881408
clean,0.02,PR_MLE,alpha3,500,0.006943913945220293,0.12999691683492112,0.12088991514081684,0.11910601642148036,0.944,0.010282412168358165
clean,0.02,PR_MLE,beta0,500,0.025201016167306342,0.38313942367476334,0.3732907345637306,0.3629123101011605,0.95,0.00974679434480897
clean,0.02,PR_MLE,beta1,500,0.0028153876850933596,0.18045793430308815,0.1702075829043399,0.16900320844243943,0.934,0.01110351295761841
clean,0.02,PR_MLE,beta2,500,0.02151115612610183,0.18801668464883625,0.1859989809099692,0.18260213568811956,0.962,0.008550555537507495
clean,0.02,PR_MLE,beta3,500,-0.013480697288005794,0.14926966548810816,0.15341235870495717,0.15025809673027665,0.97,0.007628892449104264
clean,0.05,DR_CF,alpha0,499,-0.04403955149163408,0.2468200210586984,0.23564485847297423,0.2347466889464707,0.8817635270541082,0.014454448484268889
clean,0.05,DR_CF,alpha1,499,0.05860739713016272,0.30334195941248365,0.27144848200069754,0.2497036000948485,0.9118236472945892,0.012693495054213647
clean,0.05,DR_CF,alpha2,499,-0.042417187606856505,0.22211132218702923,0.2073641594885859,0.1945900093518245,0.9418837675350702,0.010473627151538429
clean,0.05,DR_CF,alpha3,499,0.02259596243576354,0.21622678317824734,0.2160784020452317,0.2030393633702179,0.9418837675350702,0.010473627151538429
clean,0.05,DR_CF,beta0,499,0.2630380433438314,0.6541740248707238,1.109869567595084,0.4190346757260124,0.9018036072144289,0.013321510715923131
clean,0.05,DR_CF,beta1,499,-0.034447853553771675,0.47389455627267085,0.9222226959836687,0.2629406374083387,0.9078156312625251,0.012950221553025311
clean,0.05,DR_CF,beta2,499,0.24570728897269434,1.1232208199403657,2.2985632760015595,0.3069712281461459,0.8877755511022044,0.014130094233970455
clean,0.05,DR_CF,beta3,499,-0.12868672689780417,0.4581890204849865,0.9357717325092407,0.2581763727989797,0.9198396793587175,0.012155855251924898
clean,0.05,PR_MLE,alpha0,500,-0.0008469476288867339,0.17057457664617967,0.16342043357767497,0.162596387696386,0.936,0.01094568408095172
clean,0.05,PR_MLE,alpha1,500,0.010199620958155116,0.1250942236286667,0.12297670659668475,0.12283878619690355,0.946,0.010107818755794947
clean,0.05,PR_MLE,alpha2,500,-0.010019305542211426,0.11185681994387123,0.10576587487237075,0.10540340805952085,0.94,0.010620734437881408
clean,0.05,PR_MLE,alpha3,500,-0.0009684181063051709,0.10340388550059966,0.10210695257428214,0.10187309317599486,0.954,0.009368457717255283
clean,0.05,PR_MLE,beta0,500,0.031089731146185698,0.277670533921459,0.26646803455229245,0.26341760532421954,0.934,0.01110351295761841
clean,0.05,PR_MLE,beta1,500,0.0012215681680888132,0.1485625685695548,0.14679818959689211,0.14551562400169699,0.952,0.009559916317625384
clean,0.05,PR_MLE,beta2,500,0.02770106355919512,0.17175306926696307,0.1628241768302822,0.16079969728096444,0.936,0.01094568408095172
clean,0.05,PR_MLE,beta3,500,-0.013375186788534475,0.13501476351365352,0.1368233046665228,0.13564977761987268,0.958,0.00897061870775924
clean,0.1,DR_CF,alpha0,500,-0.012644153579636172,0.1640209352511832,0.16359984806230762,0.15877766648422548,0.944,0.010282412168358165
clean,0.1,DR_CF,alpha1,500,0.03162059213182442,0.1969925573812183,0.19065380412870514,0.1731420797864355,0.922,0.01199299795714149
clean,0.1,DR_CF,alpha2,500,-0.019568691539155813,0.1489185034400467,0.14177444773221076,0.13398634211743748,0.934,0.01110351295761841
clean,0.1,DR_CF,alpha3,500,0.015864347985690183,0.15190027609455484,0.1405039013043804,0.13609504665961314,0.918,0.012269963325128561
clean,0.1,DR_CF,beta0,500,0.08985230039861851,0.32449903877515596,0.29535592380776393,0.2865817991502173,0.904,0.013174520864152895
clean,0.1,DR_CF,beta1,500,-0.025591942718778987,0.2042180201135419,0.1915779519362486,0.18433905819847154,0.916,0.012405160216619531
