experiment,scenario,n,rho,q_target,method,n_attempt,n_success,failure_rate,param_rmse_mean,param_rmse_mcse,coverage_mean_mean,coverage_mean_mcse,pred_rmse_mean,rho_realized_mean,q_realized_mean,n_rev_mean,n_rev1_mean,n_rev0_mean,ess_mean,ess1_mean,ess0_mean,min_eig_or_sing_mean
A,informative_H,500,0.2,,DR_CF,500,469,0.062,0.3892872318521405,0.0176603756026827,0.9384328358208956,0.0051406568919629,0.0496299369747951,0.2011754780567574,0.6953519239292082,82.82089552238806,57.50959488272921,25.31130063965885,12.720033762304729,33.54489198330705,7.332855651792995,
A,informative_H,500,0.2,,PR_MLE,500,500,0.0,0.5964925897202022,0.0067961349889711,0.5945,0.0070080471923997,0.0413882327166895,0.2008692869691102,0.6963250409762661,82.68,57.492,25.188,,,,
A,informative_H,500,0.2,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.2009024944987666,0.6956727069101495,82.6951219512195,57.44918699186992,25.245934959349597,,,,
A,informative_H,2500,0.01,,DR_CF,500,398,0.2039999999999999,1.0093936127246177,0.0532348567617283,0.8938442211055276,0.0080601098358745,0.076010266358142,0.0098870147259271,0.6072155706843853,20.349246231155774,12.28643216080402,8.06281407035176,12.324024204888342,5.436617021896505,7.842395130004135,
A,informative_H,2500,0.01,,PR_MLE,500,500,0.0,0.2941865934974639,0.0070439376722077,0.88275,0.007878230005276,0.0208086626204386,0.0098411057162038,0.5972100007761557,20.248,12.06,8.188,,,,
A,informative_H,2500,0.01,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.0098411057162038,0.5972100007761557,20.248,12.06,8.188,,,,
A,informative_H,2500,0.02,,DR_CF,500,436,0.128,0.8418599471264275,0.0501371155510383,0.9108371559633028,0.0071536036606833,0.0686210850622225,0.0198206464141458,0.7732504313553665,40.76376146788991,31.48394495412844,9.279816513761467,13.61163158512519,8.596002594781675,8.390558321467587,
A,informative_H,2500,0.02,,PR_MLE,500,500,0.0,0.464161881869883,0.0078014856003394,0.61275,0.0108914932056397,0.0220521797498089,0.0198000338826339,0.7728935312563185,40.734,31.44,9.294,,,,
A,informative_H,2500,0.02,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.0198000338826339,0.7728935312563185,40.734,31.44,9.294,,,,
A,informative_H,2500,0.05,,DR_CF,500,483,0.034,0.4493581559978476,0.020152833316296,0.925983436853002,0.0055482200370919,0.0445813714245491,0.0498314089311452,0.8382472995540586,102.51552795031056,85.8695652173913,16.645962732919255,17.330077579266828,20.78869423497629,10.56356293288692,
A,informative_H,2500,0.05,,PR_MLE,500,500,0.0,0.623397644212347,0.0054640317361658,0.33075,0.006007791784362,0.0229043082682063,0.0498258409552677,0.8386227524176477,102.506,85.902,16.604,,,,
A,informative_H,2500,0.05,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.0498258409552677,0.8386227524176477,102.506,85.902,16.604,,,,
